language,category,question,option1,option2,option3,option4,correct
ptBR,escritos,Que trilogia de livros breves reúne pontos para a oração pessoal?,"Caminho, Sulco e Forja","Entrevistas, Caminho e Santo Rosário","Amigos de Deus, Sulco e Via Sacra","Forja, É Cristo que passa e Amar a Igreja",1
ptBR,escritos,Que obra comenta os mistérios do Rosário?,Santo Rosário,Caminho,Forja,Entrevistas,1
ptBR,escritos,Que livro reúne homilias sobre festas e tempos litúrgicos?,É Cristo que passa,Caminho,A Abadessa de Las Huelgas,Santo Rosário,1
ptBR,escritos,Que livro reúne homilias para a vida cristã cotidiana?,Amigos de Deus,Sulco,Via Sacra,Entrevistas,1
ptBR,escritos,Que obra apresenta entrevistas com São Josemaria sobre o Opus Dei e a Igreja?,Entrevistas,Forja,Caminho,Santo Rosário,1
ptBR,escritos,Que livro de São Josemaria convida a meditar as estações da Paixão?,Via Sacra,Sulco,Amigos de Deus,É Cristo que passa,1
ptBR,escritos,Que expressão famosa aparece no início de Caminho?,Que a tua vida não seja uma vida estéril,Todos os caminhos da terra,Reaviva o dom de Deus,O homem do sorriso permanente,1
ptBR,escritos,Que tema aparece de modo central em muitos escritos de São Josemaria?,A santificação do trabalho ordinário,O afastamento do mundo,A política como fim principal,A fama pessoal,1
ptBR,escritos,Que livro nasceu de notas e considerações espirituais escritas ao longo dos anos?,Caminho,A Abadessa de Las Huelgas,Amar a Igreja,Entrevistas,1
ptBR,escritos,Que obra trata de modo especial do amor à Igreja?,Amar a Igreja,Forja,Santo Rosário,Sulco,1
ptBR,escritos,Que livro foi publicado postumamente e faz parte da trilogia com Caminho e Sulco?,Forja,Santo Rosário,Entrevistas,A Abadessa de Las Huelgas,1
ptBR,escritos,Que obra de pesquisa histórica São Josemaria escreveu?,A Abadessa de Las Huelgas,Caminho,Sulco,Via Sacra,1
ptBR,escritos,"Para que servem principalmente os pontos de Caminho, Sulco e Forja?",Para fazer oração e examinar a vida,Para estudar história medieval,Para aprender música,Para organizar uma biblioteca,1
ptBR,centenario,Em que data está assinada a mensagem do Prelado sobre o Caminho para o Centenário?,19 de março de 2026,2 de outubro de 2028,14 de fevereiro de 2030,10 de junho de 2021,1
ptBR,centenario,Por ocasião de que festa a mensagem foi publicada?,A festa de São José,A festa de São Josemaria,O Natal,A Assunção,1
ptBR,centenario,Como São Josemaria chamava São José segundo a mensagem?,Meu pai e senhor,Meu mestre e rei,Meu amigo fiel,Meu protetor distante,1
ptBR,centenario,Que frase de São Josemaria guia o caminho para o Centenário?,Está tudo feito e tudo por fazer,Duc in altum,Ora et labora,Paz e bem,1
ptBR,centenario,Que período abrangerá a celebração do Centenário?,De 2 de outubro de 2028 a 14 de fevereiro de 2030,De 19 de março de 2026 a 26 de junho de 2027,Somente 2 de outubro de 2028,Todo o ano de 2026,1
ptBR,centenario,O que expressa esse período de quinhentos dias?,"A unidade de mulheres e homens, leigos e sacerdotes",Uma mudança de sede,Um congresso acadêmico,O fim da missão,1
ptBR,centenario,Qual foi o tema das últimas Assembleias regionais?,Caminho para o Centenário,A história de Roma,A economia familiar,A arte cristã,1
ptBR,centenario,Que três âmbitos ressoaram com especial força nas contribuições?,"Família, trabalho e formação","Esporte, estudo e descanso","Liturgia, música e arquitetura","Viagens, cultura e economia",1
ptBR,centenario,Como a mensagem deseja olhar para o passado e para o futuro?,"Com gratidão, exame humilde e esperança",Com nostalgia e medo,Com indiferença,Com pressa e esquecimento,1
ptBR,centenario,Que exemplo propõe meditar para a preparação espiritual?,O dos primeiros cristãos,O dos reis medievais,O dos filósofos gregos,O dos exploradores,1
ptBR,centenario,Que ideia se propõe aprofundar entre 2 de outubro de 2026 e 2 de outubro de 2027?,Ser contemplativos no meio do mundo,Viver longe do trabalho,Mudar de vocação,Estudar apenas documentos antigos,1
ptBR,centenario,Que ensinamento se propõe ter mais presente até o início do Centenário?,A amizade e a confidência,A competição e o sucesso,O silêncio absoluto,A improvisação constante,1
ptBR,centenario,Sobre o que somos convidados a meditar de 2 de outubro de 2028 a 14 de fevereiro de 2030?,O trabalho a partir da secularidade,A vida monástica,A história da arte,A organização de viagens,1
ptBR,centenario,Que frase resume o ensinamento de São Josemaria sobre o trabalho?,"Santificar o trabalho, santificar-nos com o trabalho, santificar os outros com o trabalho",Trabalhar apenas por obrigação,Evitar as pequenas tarefas,Separar a fé da vida diária,1
ptBR,centenario,Que arma a mensagem recorda que temos desde o começo da Obra?,A oração,A publicidade,A força,A discussão,1
fr,vida,En quelle année saint Josémaria est-il né ?,1902,1928,1898,1910,1
fr,vida,Dans quelle ville est-il né ?,Barbastro,Madrid,Saragosse,Logroño,1
fr,vida,Comment s’appelaient ses parents ?,José et Dolores,Juan et María,Francisco et Carmen,Santiago et Josefa,1
fr,vida,"Après sa guérison durant son enfance, où ses parents l’ont-ils emmené pour remercier la Sainte Vierge ?",Torreciudad,La Vierge du Pilier,Fatima,Lourdes,1
fr,vida,Comment s’appelle son petit frère ?,Santiago,Juan,Luis,Francisco,1
fr,vida,Qu’a-t-il vu à Logroño qui lui a fait comprendre que Dieu attendait quelque chose de lui ?,Les traces d’un carme dans la neige,Une lumière dans l’église,Un mendiant qui demandait de l’aide,Une vision d’anges,1
fr,vida,Où a-t-il célébré sa première messe ?,Au Pilar de Saragosse,À Barbastro,À Madrid,À Rome,1
fr,vida,Quel jour Dieu lui a-t-il fait voir l’Opus Dei ?,2 octobre,14 février,26 juin,9 janvier,1
fr,vida,À qui saint Josémaria enseignait-il le catéchisme durant ses premières années à Madrid ?,À des enfants pauvres,À des étudiants,À des prêtres,À des militaires,1
fr,vida,À quelle date est-il mort à Rome ?,26 juin 1975,2 octobre 1928,9 janvier 1902,14 février 1930,1
fr,vida,Où repose actuellement Saint Josémaria ?,Sainte-Marie-de-la-Paix à Rome,Cathédrale de l’Almudena,Basilique Saint-Pierre,Cathédrale de Saragosse,1
fr,vida,Par quel pape saint Josémaria a-t-il été proclamé saint ?,Jean-Paul II,Jean XXIII,Paul VI,Benoît XVI,1
fr,vida,En quelle année saint Josémaria a-t-il été canonisé ?,2002,1975,1992,2010,1
fr,vida,Quel est le cœur du charisme de l’Opus Dei ?,La sainteté au milieu du monde,Vivre dans un couvent,Ne faire que des prières vocales,Partir dans des missions lointaines,1
fr,vida,"D’après le message de saint Josémaria, que signifie être un bon chrétien ?",Faire les choses par amour de Dieu,Aller seulement à la messe,Être très sérieux,Connaître beaucoup de théologie,1
fr,escritos,Quel fut le premier livre publié par saint Josémaria ?,Saint Rosaire,Chemin,Forge,Amis de Dieu,1
fr,escritos,Quel livre de saint Josémaria contient 999 points de méditation ?,Chemin,Sillon,Forge,Chemin de Croix,1
fr,escritos,Quelle trilogie de courts livres rassemble des points pour la prière personnelle ?,"Chemin, Sillon et Forge","Entretiens, Chemin et Saint Rosaire","Amis de Dieu, Sillon et Chemin de Croix","Forge, Quand le Christ passe et Aimer l’Église",1
fr,escritos,Quelle œuvre commente les mystères du Rosaire ?,Saint Rosaire,Chemin,Forge,Entretiens,1
fr,escritos,Quel livre rassemble des homélies sur les fêtes et les temps liturgiques ?,Quand le Christ passe,Chemin,L’Abbesse de Las Huelgas,Saint Rosaire,1
fr,escritos,Quel livre rassemble des homélies pour la vie chrétienne ordinaire ?,Amis de Dieu,Sillon,Chemin de Croix,Entretiens,1
fr,escritos,Quelle œuvre présente des entretiens avec saint Josémaria sur l’Opus Dei et l’Église ?,Entretiens,Forge,Chemin,Saint Rosaire,1
fr,escritos,Quel livre de saint Josémaria invite à méditer les stations de la Passion ?,Chemin de Croix,Sillon,Amis de Dieu,Quand le Christ passe,1
fr,escritos,Quelle expression célèbre apparaît au début de Chemin ?,Que ta vie ne soit pas une vie stérile,Tous les chemins de la terre,Ravive le don de Dieu,L’homme au sourire permanent,1
fr,escritos,Quel thème apparaît de manière centrale dans beaucoup d’écrits de saint Josémaria ?,La sanctification du travail ordinaire,Le retrait du monde,La politique comme but principal,La renommée personnelle,1
fr,escritos,Quel livre est né de notes et de considérations spirituelles écrites pendant des années ?,Chemin,L’Abbesse de Las Huelgas,Aimer l’Église,Entretiens,1
fr,escritos,Quelle œuvre traite spécialement de l’amour de l’Église ?,Aimer l’Église,Forge,Saint Rosaire,Sillon,1
fr,escritos,Quel livre a été publié après sa mort et fait partie de la trilogie avec Chemin et Sillon ?,Forge,Saint Rosaire,Entretiens,L’Abbesse de Las Huelgas,1
fr,escritos,Quelle œuvre de recherche historique saint Josémaria a-t-il écrite ?,L’Abbesse de Las Huelgas,Chemin,Sillon,Chemin de Croix,1
fr,escritos,"À quoi servent principalement les points de Chemin, Sillon et Forge ?",À prier et à examiner sa vie,À étudier l’histoire médiévale,À apprendre la musique,À organiser une bibliothèque,1
fr,centenario,À quelle date est signé le message du Prélat sur le Chemin vers le Centenaire ?,19 mars 2026,2 octobre 2028,14 février 2030,10 juin 2021,1
fr,centenario,À l’occasion de quelle fête le message a-t-il été publié ?,La fête de saint Joseph,La fête de saint Josémaria,Noël,L’Assomption,1
fr,centenario,Comment saint Josémaria appelait-il saint Joseph selon le message ?,Mon père et seigneur,Mon maître et roi,Mon ami fidèle,Mon protecteur lointain,1
fr,centenario,Quelle phrase de saint Josémaria guide le chemin vers le Centenaire ?,Tout est fait et tout reste à faire,Duc in altum,Ora et labora,Paix et bien,1
fr,centenario,Quelle période couvrira la célébration du Centenaire ?,Du 2 octobre 2028 au 14 février 2030,Du 19 mars 2026 au 26 juin 2027,Seulement le 2 octobre 2028,Toute l’année 2026,1
fr,centenario,Qu’exprime cette période de cinq cents jours ?,"L’unité des femmes et des hommes, des laïcs et des prêtres",Un changement de siège,Un congrès universitaire,La fin de la mission,1
fr,centenario,Quel fut le thème des dernières Assemblées régionales ?,Chemin vers le Centenaire,L’histoire de Rome,L’économie familiale,L’art chrétien,1
fr,centenario,Quels trois domaines ont particulièrement résonné dans les contributions ?,"La famille, le travail et la formation","Le sport, l’étude et le repos","La liturgie, la musique et l’architecture","Les voyages, la culture et l’économie",1
fr,centenario,Comment le message souhaite-t-il regarder le passé et l’avenir ?,"Avec gratitude, examen humble et espérance",Avec nostalgie et peur,Avec indifférence,Avec hâte et oubli,1
fr,centenario,Quel exemple propose-t-il de méditer pour la préparation spirituelle ?,Celui des premiers chrétiens,Celui des rois médiévaux,Celui des philosophes grecs,Celui des explorateurs,1
fr,centenario,Quelle idée propose-t-il d’approfondir du 2 octobre 2026 au 2 octobre 2027 ?,Être contemplatifs au milieu du monde,Vivre loin du travail,Changer de vocation,Étudier seulement des documents anciens,1
fr,centenario,Quel enseignement propose-t-il d’avoir davantage présent jusqu’au début du Centenaire ?,L’amitié et la confidence,La compétition et le succès,Le silence absolu,L’improvisation constante,1
fr,centenario,Sur quoi sommes-nous invités à méditer du 2 octobre 2028 au 14 février 2030 ?,Le travail à partir de la sécularité,La vie monastique,L’histoire de l’art,L’organisation de voyages,1
fr,centenario,Quelle phrase résume l’enseignement de saint Josémaria sur le travail ?,"Sanctifier le travail, nous sanctifier par le travail, sanctifier les autres par le travail",Travailler seulement par obligation,Éviter les petites tâches,Séparer la foi de la vie quotidienne,1
fr,centenario,Quelle arme le message rappelle-t-il que nous avons depuis le début de l’Œuvre ?,La prière,La publicité,La force,La discussion,1
